뉴스  url,제목,내용,날짜
http://news.kbs.co.kr/news/view.do?ncd=7910457,[총선] 김부겸 “당 승리위해 선대위 합류…친명·친문 이런 말 버리자”,김부겸 전 국무총리는 “더불어민주당의 총선 승리를 위해 서거대책위원회에 합류하기로 결정했다...,2024.03.11 (15:46)
http://news.kbs.co.kr/news/view.do?ncd=7910456,양안 긴장 속 타이완 국방장관 전쟁지휘소서 주말에도 대기,중국과 타이완 간 긴장이 고조되는 가운데 타이완 국방부장(장관)이 중국 침공에 대비해 전시...,2024.03.11 (15:46)
http://news.kbs.co.kr/news/view.do?ncd=7910455,‘무법천지’ 아이티에 교민 70여 명…“접수된 피해 없어”,갱단 폭동으로 최악의 치안 상황을 맞은 카리브해 섬나라 아이티에 우리 교민 70여 명이 거...,2024.03.11 (15:45)
http://news.kbs.co.kr/news/view.do?ncd=7910453,20대 남성 교통사고로 숨져…운전자 구속영장 신청,"술에 취해 운전하다, 도로 위에 쓰러져 있던 20대 남성을 친 운전자에 대해 경찰이 구속영...",2024.03.11 (15:34)
http://news.kbs.co.kr/news/view.do?ncd=7910452,중국 우크라 특사 “긴장격화 반대…적절한 때 평화회의 지지”,중국은 우크라이나 전쟁의 추가 격화가 국제사회에 도움이 되지 않으며 적절한 때에 평화회의가...,2024.03.11 (15:34)
http://news.kbs.co.kr/news/view.do?ncd=7910451,"해외체류 국민, 한국 휴대전화 없어도 디지털서비스 이용 가능",이르면 올해 하반기부터 해외에 체류하는 국민이 한국 휴대전화 없이도 정부의 디지털 서비스를...,2024.03.11 (15:34)
http://news.kbs.co.kr/news/view.do?ncd=7910450,"교육부 “사교육 업체 유착 교원, 강력한 징계 요구할 것”","사교육 업체와 유착한 교원과 학원 관계자 등에 대한 감사원의 수사 요청과 관련해, 교육부는...",2024.03.11 (15:30)
http://news.kbs.co.kr/news/view.do?ncd=7910449,조용병 은행연합회장 “‘은행은 안전하다’는 국민 신뢰 부응해야”,조용병 은행연합회장은 “올 한해 은행 산업이 수익성은 떨어지고 리스크는 증가하는 어려운 한...,2024.03.11 (15:27)
http://news.kbs.co.kr/news/view.do?ncd=7910446,"‘모의고사 판박이 수능 영어 23번’ 왜 나왔고, 어떻게 뭉갰나","감사원이 현직 고교 교사와 사교육업체 관계자 등 56명을 청탁금지법 위반, 업무방해 등의 ...",2024.03.11 (15:23)
http://news.kbs.co.kr/news/view.do?ncd=7910445,감사보고서 제출 시기 도래…거래소 “한계기업 투자 유의”,2023년 사업연도 12월 결산법인의 감사보고서 제출 시한이 다가오는 가운데 한국거래소가 ...,2024.03.11 (15:20)
http://news.kbs.co.kr/news/view.do?ncd=7910444,"[총선] 민주, 내일 총선선대위 출범…‘이재명·이해찬·김부겸’ 3톱 체제","더불어민주당이 4월 총선을 이재명 대표와 이해찬 전 대표, 김부겸 전 국무총리 '3톱 체제...",2024.03.11 (15:16)
http://news.kbs.co.kr/news/view.do?ncd=7910443,"‘검정고무신’ 작가 기일인 3월 11일, ‘만화·웹툰 저작권의 날’로",인기 만화 ‘검정고무신’을 그린 고 이우영 작가의 기일인 3월 11일이 만화·웹툰 단체들이...,2024.03.11 (15:16)
http://news.kbs.co.kr/news/view.do?ncd=7910442,"정부, 세계 최대 콘텐츠 축제에 국내 메타버스 기업 참가 지원",과학기술정보통신부는 미국 텍사스주 오스틴에서 열리는 세계 최대 종합 콘텐츠 축제 '사우스 ...,2024.03.11 (15:16)
http://news.kbs.co.kr/news/view.do?ncd=7910441,"대한상의, ‘부산 소재 대형마트 의무 휴업, 평일 전환 추진’ 환영",정부와 부산시 등이 최근 부산지역 대형마트 의무휴업일을 평일로 전환하겠다는 계획을 발표한 ...,2024.03.11 (15:15)
http://news.kbs.co.kr/news/view.do?ncd=7910440,"고용부, ‘안실단’ 사례집 발간 “대국민 안전문화 확산”",‘안전문화 실천추진단’(이하 안실단)의 다양한 안전문화 확산 활동이 담긴 사례집이 발간됐습...,2024.03.11 (15:15)
http://news.kbs.co.kr/news/view.do?ncd=7910439,“가자 지구 임신부 6만 명 영양실조·탈수 등 고통”,이스라엘과 하마스가 전쟁을 벌이는 팔레스타인 가자 지구에서 많은 임신부가 영양실조 등으로 ...,2024.03.11 (15:14)
http://news.kbs.co.kr/news/view.do?ncd=7910437,"감사원, “현직 교사들이 업체 차려 문제 팔이”","현직 교원과 사교육 업체 간 '문항 거래' 의혹에 대한 감사 결과, 평가원이 논란이 된 '...",2024.03.11 (15:11)
http://news.kbs.co.kr/news/view.do?ncd=7910436,"이주호, 의대협에 대화 요청…“모레까지 답신 달라”","의대 증원 방침에 반발하는 의대생들의 '동맹 휴학' 움직임이 이어지는 가운데, 이주호 부총...",2024.03.11 (15:07)
http://news.kbs.co.kr/news/view.do?ncd=7910435,RIVAL PARTIES BRACE FOR ELECTION,RIVAL PARTIES BRACE FOR ELECTION[Anchor Lead]The g...,2024.03.11 (15:07)
http://news.kbs.co.kr/news/view.do?ncd=7910434,강호동 농협중앙회장 취임…‘변화와 혁신 새 농협’ 비전 선포,제25대 농협중앙회장에 강호동 회장이 취임했습니다. 강호동 신임 회장은 오늘(11일) 서울...,2024.03.11 (15:03)
http://news.kbs.co.kr/news/view.do?ncd=7910433,"정부, 포스코 ‘수소환원제철’ 예타 추진…R&D 예산으로 지원",정부가 산업 연구개발(R&D) 예산으로 포스코의 차세대 수소환원제철 기술 개발을 지원합니다...,2024.03.11 (15:03)
http://news.kbs.co.kr/news/view.do?ncd=7910432,"[15시 뉴스타임] 금감원 “홍콩 ELS, 0~100% 차등 배상”","[15시 뉴스타임] 금감원 “홍콩 ELS, 0~100% 차등 배상”...",2024.03.11 (15:02)
http://news.kbs.co.kr/news/view.do?ncd=7910431,"윤 대통령 “춘천, 데이터 산업 글로벌 거점으로 거듭날 것”",윤석열 대통령이 전국 최초의 수열에너지를 활용한 데이터센터 집적 단지가 들어설 강원도 춘천...,2024.03.11 (14:48)
http://news.kbs.co.kr/news/view.do?ncd=7910430,[총선] 이채익 “총선 불출마…‘무소속 출마 암시글’ 죄송”,4·10 총선 공천에서 사실상 컷오프(공천 배제) 되자 탈당 후 무소속 출마를 시사했던 국...,2024.03.11 (14:48)
http://news.kbs.co.kr/news/view.do?ncd=7910428,[총선] ‘5·18 발언 논란’ 도태우 공천 두고 국민의힘 비대위 안에서도 이의 제기,5·18 민주화운동 관련 발언으로 논란이 된 도태우 변호사 공천에 대해 국민의힘 지도부 내...,2024.03.11 (14:44)
http://news.kbs.co.kr/news/view.do?ncd=7910427,"500여 개 시민단체, ‘좋은후보’ 선정 위한 유권자운동본부 발족",500여 개 시민단체가 4월 총선을 앞두고 ‘4.10총선 좋은후보 선정을 위한 시민유권자운...,2024.03.11 (14:40)
http://news.kbs.co.kr/news/view.do?ncd=7910426,‘이태원 참사’ 김광호 전 서울청장 “혐의 부인”…유족들 “엄벌 촉구”,10.29 이태원 참사 부실 대응 등 혐의로 재판에 넘겨진 김광호 전 서울경찰청장이 첫 재...,2024.03.11 (14:39)
http://news.kbs.co.kr/news/view.do?ncd=7910425,"연금개혁안 ‘더 내고 더 받기’, ‘더 내고 그대로 받기’ 2가지로 압축","국회 연금개혁 특별위원회 산하 공론화위원회가 '더 내고 더 받기', '더 내고 그대로 받기...",2024.03.11 (14:39)
http://news.kbs.co.kr/news/view.do?ncd=7910424,‘근친혼 범위 축소’에 국민 75% “8촌내 혼인 금지해야”,"법무부가 혼인 금지 범위를 8촌 이내에서 4촌 이내로 축소하는 방안을 검토 중인 가운데, ...",2024.03.11 (14:34)
http://news.kbs.co.kr/news/view.do?ncd=7910423,[총선] 김부겸 “민주당 선대위 합류…입법부란 최후 보루 지켜낼 것”,김부겸 전 총리가 더불어민주당 선거대책위원회에 합류하기로 했습니다.김부겸 전 총리는 오늘(...,2024.03.11 (14:32)
http://news.kbs.co.kr/news/view.do?ncd=7910422,"의협 “군의관·공보의 파견, 의료 현장 혼란…격오지 의료 공백 대안 없어”",대한의사협회는 정부의 군의관·공보의 파견 방침에 “의료 현장의 혼란은 불을 보듯 뻔하다”며...,2024.03.11 (14:23)
http://news.kbs.co.kr/news/view.do?ncd=7910421,"[총선] 새미래, 광주 광산을 이낙연·세종갑 김종민 등 13명 공천",새로운미래가 이낙연·김종민 공동대표 등 지역구 국회의원 선거 후보자 13명을 공천하기로 했...,2024.03.11 (14:16)
http://news.kbs.co.kr/news/view.do?ncd=7910420,금감원 “‘홍콩 ELS’ 배상 비율 20~60%에 쏠릴 듯”,"금융감독원이 오늘(11일) '홍콩 ELS' 분쟁조정기준을 내놓은 가운데, 판매사의 배상 비...",2024.03.11 (14:09)
http://news.kbs.co.kr/news/view.do?ncd=7910419,인권위 “가림막 없는 교정시설 진정실 화장실은 인권침해”,폐쇄회로 텔레비전(CCTV)가 설치된 교정시설 진정실 내 화장실에 가림막을 설치하지 않은 ...,2024.03.11 (14:08)
http://news.kbs.co.kr/news/view.do?ncd=7910416,"고 손명순 여사, 현충원 YS 묘역에 합장",김영삼 전 대통령의 부인 고 손명순 여사의 영결식이 오늘 국립서울현충원에서 진행됐습니다.영...,2024.03.11 (14:06)
http://news.kbs.co.kr/news/view.do?ncd=7910415,야 “외교·법무부 장관 고발·탄핵”…충남서 표심 몰이," [앵커] 더불어민주당은 이종섭 호주 대사 내정자가 출국한 것을 두고 ""국가 권력을 이용한...",2024.03.11 (14:04)
http://news.kbs.co.kr/news/view.do?ncd=7910414,자택에 필로폰 3kg 보관…마약 투약한 40대 남성 체포,경기 의정부시에서 필로폰을 투약한 40대 남성이 경찰에 붙잡혔습니다. 경기 의정부경찰서는 ...,2024.03.11 (14:03)
http://news.kbs.co.kr/news/view.do?ncd=7910413,여 “‘이재명 셀프공천’이 패륜공천…위성정당으로 ‘종북횡재’”, [앵커] 국민의힘은  이재명 대표가 스스로를 공천한 것이야말로 패륜공천이라며 민주당 공세...,2024.03.11 (14:02)
http://news.kbs.co.kr/news/view.do?ncd=7910412,"검찰, ‘야간외출 명령 위반’ 조두순 징역 1년 구형",야간외출 제한 명령을 어기고 집을 나섰다가 재판에 넘겨진 아동 성범죄자 조두순에게 검찰이 ...,2024.03.11 (14:01)
http://news.kbs.co.kr/news/view.do?ncd=7910411,‘논란의 수능 23번’…“평가원 사전 검증 못하고 사후 이의 제기는 뭉개”,2023학년도 대학수학능력시험 영어영역 지문이 대형 입시업체 모의고사 문제와 유사하다는 논...,2024.03.11 (14:01)
http://news.kbs.co.kr/news/view.do?ncd=7910410,‘꿈의 배터리’ 기술개발 올해 본격 시작…배터리 3사 모두 참여,이른바 ‘꿈의 배터리’라고 불리는 전고체 배터리 등 차세대 배터리 기술개발을 위한 민간합동...,2024.03.11 (14:01)
http://news.kbs.co.kr/news/view.do?ncd=7910409,제주·남부 비…내일 중부지방 눈,"전국 대부분 지역이 흐리고 제주도, 호남, 영남 일부 지역에 비가 오겠습니다. 내일 낮에는...",2024.03.11 (14:01)
http://news.kbs.co.kr/news/view.do?ncd=7910408,"전공의 4,944명에 면허 정지 사전통지서 발송","정부가 지난주까지 4,900여 명의 전공의에게 면허 정지 처분 사전통지서를 발송했다고 밝혔...",2024.03.11 (14:01)
http://news.kbs.co.kr/news/view.do?ncd=7910407,"금감원, 홍콩 ELS 배상기준 발표…“판매사·투자자별 차등 적용 0~100%”"," [앵커] 홍콩 ELS 예상 투자 손실이 약 6조 원에 달하는 가운데, 금융감독원이 손실 ...",2024.03.11 (14:00)
http://news.kbs.co.kr/news/view.do?ncd=7910406,‘다방 업주들 살해’ 이영복 첫 재판서 “살인 인정·강간 부인”,다방을 운영하는 여성 2명을 잇달아 살해하고 금품을 훔쳐 달아난 혐의로 구속 기소된 이영복...,2024.03.11 (13:51)
http://news.kbs.co.kr/news/view.do?ncd=7910405,[총선] 녹색정의당 “양당 ‘위성정당’ 헌법소원 제출 계획…정당법 잠탈”,녹색정의당이 거대 양당의 총선 비례대표 위성정당인 ‘국민의미래’와 ‘더불어민주연합’과 관련...,2024.03.11 (13:50)
http://news.kbs.co.kr/news/view.do?ncd=7910404,민주당 ‘돈봉투 수수’ 혐의 의원들 다음달 2일 재판 시작,더불어민주당 ‘전당대회 돈봉투’ 수수 혐의 의원들의 재판이 다음달 시작됩니다. 서울중앙지법...,2024.03.11 (13:49)
http://news.kbs.co.kr/news/view.do?ncd=7910403,"인도네시아 항공사, 운항 중 동시에 잠든 기장·부기장 정직 처분",여객기 운항 중에 동시에 잠이 든 인도네시아 항공사 바틱에어의 기장과 부기장이 정직 처분을...,2024.03.11 (13:47)
http://news.kbs.co.kr/news/view.do?ncd=7910400,일본 지난해 4분기 GDP 성장률 0.1%…2분기 만에 플러스 전환,"일본 내각부는 지난해 4분기(10∼12월) 일본의 실질 국내총생산(GDP, 계절조정치)이 ...",2024.03.11 (13:35)
http://news.kbs.co.kr/news/view.do?ncd=7910399,"인천 강화군, 군수 별세에 대행체제…보궐선거는 10월16일",지난 9일 유천호 강화군수가 지병으로 별세함에 따라 인천시 강화군은 당분간 윤도영 부군수 ...,2024.03.11 (13:35)
http://news.kbs.co.kr/news/view.do?ncd=7910398,무면허로 음주운전하다 도주…30대 불법체류자 검거,무면허 상태로 음주운전을 하다가 경찰의 단속에 응하지 않고 도주한 불법체류자가 검거됐습니다...,2024.03.11 (13:32)
http://news.kbs.co.kr/news/view.do?ncd=7910397,술 마시다 “집에 가겠다”고 하자 폭행…60대 남성 체포,함께 술을 마시던 여성이 집에 가겠다고 하자 욕설을 하고 폭행한 남성이 경찰에 붙잡혔습니다...,2024.03.11 (13:26)
http://news.kbs.co.kr/news/view.do?ncd=7910396,서울경찰청장 “잇단 비위 송구…경찰서장에게도 책임 물을 것”,조지호 서울경찰청장은 최근 서울 경찰의 잇따른 비위 행위에 대해 송구스럽다며 앞으로 일선 ...,2024.03.11 (13:26)
http://news.kbs.co.kr/news/view.do?ncd=7910395,[총선] 임종석 “이재명 중심으로 단결해야…이제부턴 친명도 비명도 없어”,4·10 총선 더불어민주당 서울 중·성동갑 공천에서 배제된 임종석 전 대통령 비서실장이 “...,2024.03.11 (13:25)
http://news.kbs.co.kr/news/view.do?ncd=7910394,포르투갈 총선서 집권 여당 누르고 중도 우파 1당…극우 급부상,현지 시각 10일 치러진 포르투갈 조기 총선에서 중도 우파 정당이 집권 여당인 중도 좌파 ...,2024.03.11 (13:16)
http://news.kbs.co.kr/news/view.do?ncd=7910392,"‘조선학교 보조금 지급’ 일본 지자체, 첫 100곳 이하",재일 민족학교인 조선학교에 보조금을 지급하는 일본 지방자치단체가 2022년 처음으로 100...,2024.03.11 (13:04)
http://news.kbs.co.kr/news/view.do?ncd=7910390,"코스피 2,673.01 코스닥 873.87",,2024.03.11 (12:59)
http://news.kbs.co.kr/news/view.do?ncd=7910389,무료 공영주차장에 한 달 이상 버려두면 견인,무료 공영주차장에 차량을 한 달 이상 버려두면 앞으로는 강제 견인할 수 있게 됩니다.지난 ...,2024.03.11 (12:56)
http://news.kbs.co.kr/news/view.do?ncd=7910388,남쪽에 먼저 피어난 봄…봄꽃 축제 한창, [앵커] 주말인 어제 꽃샘추위가 풀리면서 전국적으로 화창한 봄 날씨를 보였죠. 경남과 전...,2024.03.11 (12:54)
http://news.kbs.co.kr/news/view.do?ncd=7910387,‘고기 맛’ 나는 곰팡이…차세대 대체육 연구," [앵커] 동물을 해치지 않고 미생물 발효나 식물을 이용해 만드는 고기인 '대체육', 들어...",2024.03.11 (12:51)
http://news.kbs.co.kr/news/view.do?ncd=7910386,"남아공, 자생식물로 ‘메마른 땅’ 살리기", 남아프리카 공화국 리틀 카루 지역. 건조 지역인 이곳은 과도한 방목과 장기간 가뭄으로 땅...,2024.03.11 (12:49)
http://news.kbs.co.kr/news/view.do?ncd=7910385,얼음 악기의 뜨거운 울림…이탈리아 ‘설산 콘서트’,"[앵커] 이탈리아에선 2,600미터 높이의 설산에서 얼음 악기로 연주하는 이색적인 콘서트가...",2024.03.11 (12:49)
http://news.kbs.co.kr/news/view.do?ncd=7910384,"중국 석유화학업체, 지하 만 미터 깊이 시추 성공",[앵커] 중국 석유화학업체 시노켐이 신장 타클라마칸 사막의 타림분지에서 깊이 만 미터에 이...,2024.03.11 (12:47)
http://news.kbs.co.kr/news/view.do?ncd=7910383,"일본, 기초생활수급 신청 건수 10여 년 만에 최다", [앵커] 일본에서는 지난해 기초생활수급 신청 건수가 25만 건을 넘어 10여 년 만에 가...,2024.03.11 (12:47)
http://news.kbs.co.kr/news/view.do?ncd=7910381,도심 골칫거리 된 ‘비둘기’…“불임 사료로 조절?”," [앵커] 도심에서 비둘기 떼를 마주치는 경험, 너무나 익숙한데요. 하지만 평화의 상징에서...",2024.03.11 (12:42)
http://news.kbs.co.kr/news/view.do?ncd=7910380,외국인 계절근로자 ‘올해 역대 최다’…“제도 개선도 시급”, [앵커] 저출산과 고령화로 농촌에서는 인력 구하기가 '하늘의 별 따기'란 말까지 나오는데...,2024.03.11 (12:39)
http://news.kbs.co.kr/news/view.do?ncd=7910379,“복지 등기 왔습니다”…집배원이 치매 노인 관리," [앵커] 우리나라도 초고령사회에 가까워지면서 치매 환자가 덩달아 늘고 있지만, 관리할 인...",2024.03.11 (12:37)
http://news.kbs.co.kr/news/view.do?ncd=7910378,[이 시각 주요뉴스] 홍콩 ELS 손실 배상 “판매사·투자자별 차등” 외,"홍콩 H지수 주가연계증권, ELS의 대규모 원금 손실 사태를 고강도로 조사해 온 금융감독원...",2024.03.11 (12:35)
http://news.kbs.co.kr/news/view.do?ncd=7910377,[기후는 말한다] 북극 이어 남극 소용돌이도 ‘와르르’…해빙이 녹는다," [앵커] 남극의 바다 얼음, 해빙이 빠르게 녹으면서 올해 해빙 면적이 역대 2번째로 작았...",2024.03.11 (12:34)
http://news.kbs.co.kr/news/view.do?ncd=7910376,[기후는 말한다] 경기도 대기 중 중금속 농도↑…“중국 춘절 영향”,중국 춘절 폭죽놀이 이후 경기도 지역 대기의 중금속 농도가 증가했다는 분석이 나왔습니다. ...,2024.03.11 (12:32)
http://news.kbs.co.kr/news/view.do?ncd=7910375,[기후는 말한다] 양파 ‘노균병’ 확산 우려…잦은 비·이상 고온 탓,기후 환경 뉴스 '기후는 말한다'입니다.지난 겨울 잦은 비와 평년보다 높은 기온이 이어지면...,2024.03.11 (12:32)
http://news.kbs.co.kr/news/view.do?ncd=7910374,"일본 언론 “북한 정찰위성, 한일 상공 정상 비행”",지난해 11월 발사한 북한의 첫 정찰위성이 한일 상공의 궤도를 돌고 있다고 일본 요미우리신...,2024.03.11 (12:30)
http://news.kbs.co.kr/news/view.do?ncd=7910373,‘옷 수선비’ 지원 나선 프랑스…패스트패션에는 벌금 추진, [앵커] 프랑스에서는  헌 옷을 수선하거나  패션에 맞춰 고쳐 입는 바람이 불고 있다고 ...,2024.03.11 (12:29)
http://news.kbs.co.kr/news/view.do?ncd=7910372,"‘불법 도박사이트 운영’ 한인 인터폴 수배자, 베트남서 체포",한국에서 불법 도박 사이트를 운영하다가 베트남으로 도주한 50대 한인 남성이 현지 공안에 ...,2024.03.11 (12:29)
http://news.kbs.co.kr/news/view.do?ncd=7910371,태국은 망고가 1/4 가격…수입 과일 아직 비싼 이유는?, [앵커] 요즘 과일값이  워낙 비싸다 보니 수입 과일로 눈을 돌리는 소비자분들 많으신데요...,2024.03.11 (12:27)
http://news.kbs.co.kr/news/view.do?ncd=7910370,대통령궁 난입 이어 방위대원 억류까지…‘43명 실종’ 시위 격화, [앵커] 멕시코에서는 10년 전에 발생한 대학생 실종 사건 관련 수사 상황에 항의하는 시...,2024.03.11 (12:25)
http://news.kbs.co.kr/news/view.do?ncd=7910369,"무법천지 아이티, 서방 대사관 탈출 러시…부켈레가 지원?", [앵커] 카리브해 섬나라 아이티의 혼란 상황이 갈수록 심각해지고 있습니다. 현지 주재  ...,2024.03.11 (12:23)
http://news.kbs.co.kr/news/view.do?ncd=7910368,가자 구호품 해상 운송 임박…전쟁 속 라마단 시작, [앵커] 가자 지구에 전달될  구호품을 실은 선박의 출항이  임박한 것으로 알려졌습니다....,2024.03.11 (12:21)
http://news.kbs.co.kr/news/view.do?ncd=7910365,"“문준용, 특혜취업 의혹은 허위”…배상 판결 확정",문재인 전 대통령 아들 문준용 씨가 자신의 특혜 채용 의혹을 제기한 전 국민의당 측에서 위...,2024.03.11 (12:18)
http://news.kbs.co.kr/news/view.do?ncd=7910364,손명순 여사 오늘 발인…현충원 YS 묘역에 합장, [앵커] 김영삼 전 대통령의 부인 고 손명순 여사가  오늘 발인 예배와 영결식을 끝으로 ...,2024.03.11 (12:17)
http://news.kbs.co.kr/news/view.do?ncd=7910363,통영 어선 전복 사흘째 수색…“선체에 실종자 없어”,경상남도 통영 앞바다에서 일어난 어선 전복 사고의 실종자를 찾는 수색 작업이 사흘째 계속 ...,2024.03.11 (12:16)
http://news.kbs.co.kr/news/view.do?ncd=7910362,충전 중 전기차에서 불…여수 낚싯배 좌초 전원 구조, [앵커] 주차장에서 충전 중이던  전기차에서 불이 났습니다. 여수 바다에서는 낚싯배가 좌...,2024.03.11 (12:14)
http://news.kbs.co.kr/news/view.do?ncd=7910361,"공정위, 에어비앤비 제재…“회사 주소·연락처 제대로 공개 안 해”", [앵커] 공정거래위원회가 숙박 공유 서비스 에어비앤비가 전자상거래법을 어긴  사실을 적발...,2024.03.11 (12:12)
http://news.kbs.co.kr/news/view.do?ncd=7910360,‘의료공백 해소’ 공공병원 활용한다지만…“환자 늘지 않아 투자 절실”, [앵커] 정부는 대형병원 의료공백 대안으로 공공병원을 적극 활용하겠다고 했습니다. 운영 ...,2024.03.11 (12:10)
http://news.kbs.co.kr/news/view.do?ncd=7910359,"[현장영상] D-30 이재명 “이종섭 출국, 국민 이해할 수 있나”", 더불어민주당 이재명 대표는 오늘(11일) 최고위원회의에서 '해병대 채 상병 사건 수사 외...,2024.03.11 (12:08)
http://news.kbs.co.kr/news/view.do?ncd=7910358,"“전공의 4,944명에게 면허 정지 사전통지서 발송”", [앵커] 의대 증원에 반발한 전공의들이  집단으로 사직서를 내고  병원을 떠난 지 4주째...,2024.03.11 (12:07)
http://news.kbs.co.kr/news/view.do?ncd=7910357,야 “외교·법무부 장관 고발·탄핵”…충남서 표심 몰이," [앵커] 더불어민주당은 이종섭 호주 대사 내정자가 출국한 것을 두고 ""국가 권력을 이용한...",2024.03.11 (12:05)
http://news.kbs.co.kr/news/view.do?ncd=7910356,여 “‘이재명 셀프공천’이 패륜공천…위성정당으로 ‘종북횡재’”, [앵커] 국민의힘은  이재명 대표가 스스로를 공천한 것이야말로 패륜공천이라며 민주당 공세...,2024.03.11 (12:04)
http://news.kbs.co.kr/news/view.do?ncd=7910355,"금감원, 홍콩 ELS 배상기준 발표…“판매사·투자자별 차등 적용 0~100%”"," [앵커] 홍콩 ELS 예상 투자 손실이 약 6조 원에 달하는 가운데, 금융감독원이 손실 ...",2024.03.11 (12:02)
http://news.kbs.co.kr/news/view.do?ncd=7910354,"“양질의 수업자료 공유한 교사, 다운로드 횟수따라 인센티브”",교사 개인이 만든 양질의 수업 콘텐츠를 다른 교사와 공유할 경우 인센티브를 제공하는 방안이...,2024.03.11 (12:00)
http://news.kbs.co.kr/news/view.do?ncd=7910353,"경찰, ‘전공의 블랙리스트 문건’ 유포 관련 ‘디시인사이드’ 압수수색",경찰이 ‘전공의 집단행동 불참자 명단을 작성해 유포하라’는 지침이 담긴 대한의사협회(의협)...,2024.03.11 (12:00)
