뉴스 url,제목,내용요약,날짜
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567957&plink=RSSLINK&cooper=RSSREADER,"방심위, '바이든-날리면' 논란 MBC 뉴스데스크 과징금 확정",방송통신심의위원회는 오늘 오후 전체회의를 열고 윤석열 대통령의 미국 방문 당시 불거진 이른바 '바이든-날리면' 자막 논란과 관련한 MBC 보도에 대해 법정제재 최고 수위인 과징금 부과를 의결했습니다.,"Mon, 11 Mar 2024 18:40:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567913&plink=RSSLINK&cooper=RSSREADER,"민주 ""시민단체 몫 비례대표 후보에 심각한 우려""","민주당이 주도하는 더불어민주연합 차원의 재논의 가능성도 거론되고 있습니다. 민주당 김민석 상황실장은 이날 오후 기자들과 만나 ""최고위원회의에서 시민사회가 추천하는 국민 후보 4인의 선정 결과를 놓고 매우 심각한 우려를 표명하는 논의가 있었다""고 전했습니다.","Mon, 11 Mar 2024 18:21:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567845&plink=RSSLINK&cooper=RSSREADER,"[스프] ""이재명 중심으로""…단일대오 외치는 임종석·고민정","""백의종군합니다. 이재명 대표 중심으로 돌파해야 합니다."" 친명계 정치인의 말로 보이지만, 친문계 핵심인 임종석 전 대통령 비서실장의 말입니다.","Mon, 11 Mar 2024 18:18:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007566958&plink=RSSLINK&cooper=RSSREADER,"[영상] ""개구멍으로 도망 시키는 범인 해외 도피 사건""…'이종섭 호주 출국' 맹폭에 한동훈 반응",이종섭 전 국방부 장관의 주호주 대사 임명 출국을 두고 여야가 맞붙고 있습니다. 한동훈 국민의힘 비대위원장은 오늘 이재명 더불어민주당 대표의 '패륜 공천' 발언 및 이 전 장관의 주호주 대사 내정 관련비판에 대한 답변을 내놓았는데요.,"Mon, 11 Mar 2024 17:45:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567878&plink=RSSLINK&cooper=RSSREADER,"한동훈 ""도태우 5·18 발언, 국민 눈높이 맞게 재검토""","한 위원장은 오늘 도 변호사의 과거 발언 전반에 대해 ""국민 눈높이 맞는 면밀한 재검토를 하라""고 당 공천관리위원회에 말했습니다.","Mon, 11 Mar 2024 18:17:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567871&plink=RSSLINK&cooper=RSSREADER,"대통령실 ""이종섭, 수사 협조 약속하고 출국""…'수사 차질' 일축","대통령실은 '해병대 채 모 상병 순직' 수사 외압 의혹으로 수사받던 이종섭 전 국방부 장관이 주호주대사로 임명돼 출국하면서 수사에 차질이 있다는 지적에 대해 ""맞지 않는 주장""이라고 일축했습니다.","Mon, 11 Mar 2024 17:37:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567864&plink=RSSLINK&cooper=RSSREADER,"국민의힘, 이재명에 ""한미훈련 반대·미군 철수가 공약인지 밝혀야""","국민의힘은 오늘 더불어민주당 주도의 비례 위성정당 더불어민주연합이 전지예 금융정의연대 운영위원을 '비례 1번' 후보로 선정하는 등 반미 성향 인사들이 대거 비례대표 상위 순번을 받을 것으로 알려진 데 대해 '종북세력의 민주당 숙주화', '반미종북세력 국회 진입' 등 표현으로 강하게 비난했습니다.","Mon, 11 Mar 2024 17:35:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567707&plink=RSSLINK&cooper=RSSREADER,"윤 대통령 ""강원을 첨단산업기지로…관광산업 활성화 지원""","윤석열 대통령이 강원도의 주력 산업을 디지털과 바이오 기반의 첨단 산업으로 재편하겠다고 밝혔습니다. 춘천에서 열린 19번째 민생토론회 소식, 윤나라 기자가 전해드립니다.","Mon, 11 Mar 2024 17:30:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567699&plink=RSSLINK&cooper=RSSREADER,"[오뉴스 출연] 총선 D-30, 공천 막바지…본격 선거체제 (김수민 시사평론가)",오늘의 이슈를 김수민 시사평론가와 오뉴스에서 함께 자세하게 알아봅니다.,"Mon, 11 Mar 2024 17:18:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567823&plink=RSSLINK&cooper=RSSREADER,"대통령실 ""의료개혁 관철 변함없어…언제까지 인내할 순 없다""","대통령실은 ""정부가 의료개혁의 임무를 국민들의 지지와 여망 속에서 관철해나가겠다는 뜻은 변함이 없다""고 밝혔습니다. 대통령실 관계…","Mon, 11 Mar 2024 17:10:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567696&plink=RSSLINK&cooper=RSSREADER,"조직 만들어 '문제 장사'…감사원, 56명 수사 요청",현직 교사들이 유명 학원의 모의고사 문제를 만들어주고 돈을 받는 이른바 사교육 카르텔이 사실로 확인됐습니다. 감사원은 교사와 유명 학원 강사 등 50여 명을 경찰에 수사 의뢰했습니다.,"Mon, 11 Mar 2024 17:01:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567786&plink=RSSLINK&cooper=RSSREADER,"선관위 ""선거 보안 취약점 대부분 조치…미비점 있으면 개선""","중앙선거관리위원회는 4·10 총선을 앞두고 작년 보안 점검에서 지적된 취약점에 대한 개선 조치를 대부분 완료했다고 밝혔습니다. 김용빈 선관위 사무총장은 총선 30일 전인 오늘 선관위 과천청사에서 열린 선거정보시스템 보안자문회의에서 이같이 밝히고 ""외부의 정당한 비판은 겸허히 수용하고 미비점이 있다면 개선해 국민 모두가 선거 결과를 신뢰하는 통합과 화합의 선거가 되도록 최선을 다하겠다""고 강조했습니다.","Mon, 11 Mar 2024 16:44:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567775&plink=RSSLINK&cooper=RSSREADER,"이재명, 충남서 '정부 심판' 집중 공세…""패륜 정권 몽둥이로 때려야""","선거일까지 딱 30일 남은 시점에서 정권 심판 여론을 자극, 공천 내홍으로 하락세에 있는 당 지지율 상승 동력을 마련하려는 의도로 풀이됩니다. 이 대표는 이날 오후 홍성시장 연설 및 충남 국회의원 후보자 연석회의에서 ""법은커녕 기본적인 윤리조차도 지키지 못하는 패륜 정권""이라며 ""국민 알기를 뭐로 알고 있지 않느냐""고 비난했습니다.","Mon, 11 Mar 2024 16:43:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567769&plink=RSSLINK&cooper=RSSREADER,"민주, 내일 선대위 출범…'이재명 이해찬 김부겸' 3톱 체제",선거가 한 달 앞으로 임박하고 공천 작업도 마무리 국면인 만큼 내일 당 선거대책위원회를 출범시켜 본격적인 선거 체제로 당을 공식 전환하기로 했습니다.,"Mon, 11 Mar 2024 16:36:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567743&plink=RSSLINK&cooper=RSSREADER,"국민의힘 비대위, '5·18 폄훼 논란' 도태우 공천 놓고 논쟁",국민의힘 비상대책위원들은 오늘 오전 서울 여의도 당사에서 열린 비공개회의에서 도 변호사가 지난 2019년 5·18 민주화운동 북한 개입설을 주장했다는 논란과 함께 도 후보자의 공천 철회 문제를 놓고 논쟁을 벌였습니다.,"Mon, 11 Mar 2024 16:24:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567409&plink=RSSLINK&cooper=RSSREADER,"'채 상병 수사 외압 의혹' 이종섭 전 장관 출국…""국내 압송해야"" vs  ""수사에 충분히 협조""",'SBS &lt;편상욱의 뉴스브리핑&gt;' ■ 방송 : SBS &lt;편상욱의 뉴스브리핑&gt; 월~금  ■ 진행 : 편상욱 앵커 ■ 대담 : 이종근…,"Mon, 11 Mar 2024 16:39:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567408&plink=RSSLINK&cooper=RSSREADER,"새로운미래 이낙연, 광주 광산을 출마…'친명' 민형배와 승부",'SBS &lt;편상욱의 뉴스브리핑&gt;' ■ 방송 : SBS &lt;편상욱의 뉴스브리핑&gt; 월~금  ■ 진행 : 편상욱 앵커 ■ 대담 : 이종근…,"Mon, 11 Mar 2024 16:11:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567407&plink=RSSLINK&cooper=RSSREADER,민주당 추미애·전현희·이언주 '여전사 3인방' 수도권 본선행…당선 가능성은?,'SBS &lt;편상욱의 뉴스브리핑&gt;' ■ 방송 : SBS &lt;편상욱의 뉴스브리핑&gt; 월~금  ■ 진행 : 편상욱 앵커 ■ 대담 : 이종근…,"Mon, 11 Mar 2024 16:11:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567406&plink=RSSLINK&cooper=RSSREADER,"결선서 이영 러브콜 경쟁…이혜훈 ""총명한 정치인"" 하태경 ""비전·꿈 함께""",'SBS &lt;편상욱의 뉴스브리핑&gt;' ■ 방송 : SBS &lt;편상욱의 뉴스브리핑&gt; 월~금  ■ 진행 : 편상욱 앵커 ■ 대담 : 이종근…,"Mon, 11 Mar 2024 16:10:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567405&plink=RSSLINK&cooper=RSSREADER,"이재명, '2찍' 발언에 사과…장예찬, 과거 '난교' 언급 해명",'SBS &lt;편상욱의 뉴스브리핑&gt;' ■ 방송 : SBS &lt;편상욱의 뉴스브리핑&gt; 월~금  ■ 진행 : 편상욱 앵커 ■ 대담 : 이종근…,"Mon, 11 Mar 2024 16:10:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567404&plink=RSSLINK&cooper=RSSREADER,"양당 대표간 직접 난타전…한동훈 ""종북세력 저지"" 이재명 ""민주파괴 심판""",'SBS &lt;편상욱의 뉴스브리핑&gt;' ■ 방송 : SBS &lt;편상욱의 뉴스브리핑&gt; 월~금  ■ 진행 : 편상욱 앵커 ■ 대담 : 이종근…,"Mon, 11 Mar 2024 15:21:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567529&plink=RSSLINK&cooper=RSSREADER,"윤 대통령 ""소양강댐 냉각수로 데이터센터 전력 소비 줄여 시너지 창출""","윤석열 대통령은 강원 춘천 봄내체육관에서 열린 '강원 수열에너지 클러스터 착공식'에 참석해 소양강댐의 심층수를 냉각수로 활용해 데이터센터의 전력 소비를 획기적으로 줄일 수 있다며 ""이 클러스터가 첨단 산업의 전진기지가 될 것""이라고 밝혔습니다.","Mon, 11 Mar 2024 14:48:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567512&plink=RSSLINK&cooper=RSSREADER,"김부겸, 선대위 합류…""친명·친문 이런 말들 스스로 버리자""","김 전 총리는 오늘 오후 기자회견을 열어 ""선대위에 합류해 달라는 당의 요청을 받아들이기로 했다""고 말했습니다. 김 전 총리는 우선 ""국무총리직을 마치면서 정치인과 공직자로서의 여정을 멈춘다고 말씀드렸다.","Mon, 11 Mar 2024 15:08:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567492&plink=RSSLINK&cooper=RSSREADER,"국민의힘 이채익 ""총선 불출마…'무소속 출마 암시글' 죄송""","4·10 총선 공천에서 사실상 컷오프되자 탈당 후 무소속 출마를 시사했던 국민의힘 이채익 의원이 불출마를 선언했습니다. 이 의원은 오늘 국회에서 기자회견을 열어 ""지금까지 단 한 번도 당을 떠난 적이 없고 국민의힘은 나의 전부였다""며 ""고심 끝에 총선에 불출마하기로 했다""고 밝혔습니다.","Mon, 11 Mar 2024 14:30:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567471&plink=RSSLINK&cooper=RSSREADER,"가수 리아 · 이규원 검사, 조국혁신당 입당",대표곡 '눈물'로 유명한 리아는 지난 대선 당시 후보였던 더불어민주당 이재명 대표의 등장곡을 부르는 등 이 대표 캠프에서 활동한 바 있습니다.,"Mon, 11 Mar 2024 14:24:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567467&plink=RSSLINK&cooper=RSSREADER,"새미래, 김종민 · 홍영표 공동선대위원장…이낙연 · 김종민 공천","상임 선대위원장은 김종민·홍영표 의원, 공동선대위원장은 박영순·박원석·김영선·신경민·양소영 책임위원이 맡기로 했습니다. 이낙연 대표는 상임고문으로 임명됐습니다.","Mon, 11 Mar 2024 14:24:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567187&plink=RSSLINK&cooper=RSSREADER,"[D리포트] 사퇴 선언 13일 만에 복귀한 고민정…""차이보다 공통점 봐야""",[고민정/민주당 최고위원  : 저는 오늘부로 최고위원직에서 물러나겠습니다.] 민주당 내 공천 갈등과 총선 전략의 부재를 지적하며 최고위원직 사퇴를 선언했던 고민정 의원이 오늘 최고위 회의에 복귀했습니다.,"Mon, 11 Mar 2024 14:08:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567444&plink=RSSLINK&cooper=RSSREADER,'교사가 학원 뒷돈 받고 문제 거래' 사실로 드러나…56명 수사요청,사교육 업체와 유착한 현직 교사들이 모의고사 문제를 제공하고 금품을 받는다는 이른바 '사교육 카르텔' 의혹이 감사원 감사에서 사실로 확인됐습니다.,"Mon, 11 Mar 2024 14:38:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007567391&plink=RSSLINK&cooper=RSSREADER,"고민정, 최고위 복귀…""생각 달라도 같은 목표 향해 연대해야""",고 최고위원은 이날 오전 국회에서 열린 최고위원회의에 참석했습니다. 공천 갈등이 고조되던 지난달 27일 최고위원직 사의를 밝힌 지 13일 만입니다.,"Mon, 11 Mar 2024 13:40:00 +0900"
